id,da aNo ificacao,ocupacaoSuspei oCli,ocupacaoSuspei oU i,ocupacaoConfirmadoCli,ocupacaoConfirmadoU i,ocupacaoCovidU i,ocupacaoCovidCli,ocupacaoHospi alarU i,ocupacaoHospi alarCli,saidaSuspei aObi os,saidaSuspei aAl as,saidaConfirmadaObi os,saidaConfirmadaAl as,origem,es adoNo ificacao,municipioNo ificacao,es ado,municipio,_crea ed_a,_upda ed_a,target
1290526,2022-01-01 03:00:01,0,0,0,0,0,0,0,0,0,0,0,0,parse-cloud,São Paulo,Flórida Paulis a,São Paulo,Flórida Paulis a,2022-01-01 10:21:25.134,2022-01-01 10:21:25.134,0
1290527,2022-01-01 03:00:35,0,0,0,0,0,0,16,73,0,0,0,0,parse-cloud,Minas Gerais,Muriaé,Minas Gerais,Muriaé,2022-01-01 10:22:07.664,2022-01-01 10:22:07.664,0
1290528,2022-01-01 03:00:24,0,0,0,0,0,0,0,2,0,0,0,0,parse-cloud,São Paulo,General Salgado,São Paulo,General Salgado,2022-01-01 10:22:44.902,2022-01-01 10:22:44.902,0
1290531,2022-01-01 03:00:26,0,0,0,0,1,0,10,61,1,0,0,1,parse-cloud,San a Ca arina,Lages,San a Ca arina,Lages,2022-01-01 10:28:04.089,2022-01-01 10:28:04.089,0
1290534,2022-01-01 03:00:51,0,0,0,0,0,0,0,5,0,0,0,0,parse-cloud,São Paulo,Al inópolis,São Paulo,Al inópolis,2022-01-01 10:31:38.235,2022-01-01 10:31:38.235,0
1290535,2022-01-01 03:00:53,0,0,0,0,0,1,0,7,0,0,0,0,parse-cloud,Rio Grande do Sul,Cândido Godói,Rio Grande do Sul,Cândido Godói,2022-01-01 10:32:12.175,2022-01-01 10:32:12.175,0
1290536,2022-01-01 03:00:28,0,0,0,0,0,0,0,12,1,3,0,0,parse-cloud,Minas Gerais,Boa Esperança,Minas Gerais,Boa Esperança,2022-01-01 10:33:32.780,2022-01-01 10:33:32.780,0
1290537,2022-01-01 03:00:14,0,0,0,0,0,0,0,75,0,0,0,0,parse-cloud,São Paulo,San a Ri a do Passa Qua ro,São Paulo,San a Ri a do Passa Qua ro,2022-01-01 10:35:11.766,2022-01-01 10:35:11.766,0
1290538,2022-01-01 03:00:22,0,0,0,0,1,0,0,0,0,0,0,0,parse-cloud,São Paulo,San a Bárbara d'Oes e,São Paulo,San a Bárbara d'Oes e,2022-01-01 10:40:38.678,2022-01-01 10:40:38.678,0
1290539,2022-01-01 03:00:22,0,0,0,0,1,3,56,179,0,2,0,0,parse-cloud,Minas Gerais,Juiz de Fora,Minas Gerais,Juiz de Fora,2022-01-01 10:41:58.728,2022-01-01 10:41:58.728,1
1290540,2022-01-01 03:00:28,0,0,0,0,0,0,5,55,0,0,0,0,parse-cloud,Minas Gerais, eófilo O oni,Minas Gerais, eófilo O oni,2022-01-01 10:42:44.736,2022-01-01 10:42:44.736,0
1290541,2022-01-01 03:00:26,0,0,0,0,0,1,10,17,0,0,0,0,parse-cloud,Minas Gerais,Lavras,Minas Gerais,Lavras,2022-01-01 10:43:08.124,2022-01-01 10:43:08.124,0
1290542,2022-01-01 03:00:45,0,0,0,0,0,0,0,0,0,0,0,0,parse-cloud,São Paulo,Indaia uba,São Paulo,Indaia uba,2022-01-01 10:43:56.329,2022-01-01 10:43:56.329,0
1290543,2022-01-01 03:00:55,0,0,0,0,18,0,17,136,0,0,0,0,parse-cloud,Rio de Janeiro,Macaé,Rio de Janeiro,Macaé,2022-01-01 10:44:29.276,2022-01-01 10:44:29.276,1
1290544,2022-01-01 03:00:30,0,0,0,0,0,0,10,38,0,0,0,0,parse-cloud,Alagoas,Maceió,Alagoas,Maceió,2022-01-01 10:44:46.433,2022-01-01 10:44:46.433,0
1290545,2022-01-01 03:00:30,0,0,0,0,0,0,20,58,0,0,0,0,parse-cloud,San a Ca arina,Xanxerê,San a Ca arina,Xanxerê,2022-01-01 10:44:47.776,2022-01-01 10:44:47.776,0
